Date,U_Wind
2015-01-01,14.223876953125
2015-01-02,9.773323059082031
2015-01-03,4.295074462890625
2015-01-04,1.9034042358398438
2015-01-05,10.159530639648438
2015-01-06,18.202484130859375
2015-01-07,17.21788787841797
2015-01-08,22.299949645996094
2015-01-09,28.58636474609375
2015-01-10,42.363739013671875
2015-01-11,37.349159240722656
2015-01-12,33.97355651855469
2015-01-13,27.339523315429688
2015-01-14,22.634552001953125
2015-01-15,21.473846435546875
2015-01-16,20.371307373046875
2015-01-17,23.941123962402344
2015-01-18,27.391098022460938
2015-01-19,31.81481170654297
2015-01-20,37.707298278808594
2015-01-21,41.18388366699219
2015-01-22,35.587989807128906
2015-01-23,25.11615753173828
2015-01-24,19.92547607421875
2015-01-25,18.25299835205078
2015-01-26,9.368888854980469
2015-01-27,9.825698852539062
2015-01-28,6.369209289550781
2015-01-29,12.820114135742188
2015-01-30,13.811691284179688
2015-01-31,18.669464111328125
2015-02-01,25.99573516845703
2015-02-02,26.486778259277344
2015-02-03,21.80677032470703
2015-02-04,16.975624084472656
2015-02-05,17.068824768066406
2015-02-06,16.282684326171875
2015-02-07,16.19799041748047
2015-02-08,14.513771057128906
2015-02-09,16.17919158935547
2015-02-10,23.98614501953125
2015-02-11,32.403053283691406
2015-02-12,35.23876190185547
2015-02-13,39.27056884765625
2015-02-14,34.88072204589844
2015-02-15,33.276756286621094
2015-02-16,32.71635437011719
2015-02-17,30.468666076660156
2015-02-18,28.58843231201172
2015-02-19,35.91102600097656
2015-02-20,37.97418975830078
2015-02-21,41.52845764160156
2015-02-22,40.20152282714844
2015-02-23,40.09173583984375
2015-02-24,39.18232727050781
2015-02-25,39.08539581298828
2015-02-26,40.916656494140625
2015-02-27,40.169525146484375
2015-02-28,41.65592956542969
2015-03-01,38.954444885253906
2015-03-02,35.133995056152344
2015-03-03,32.755714416503906
2015-03-04,32.603309631347656
2015-03-05,32.1533203125
2015-03-06,32.16346740722656
2015-03-07,35.50946807861328
2015-03-08,38.28260040283203
2015-03-09,42.70381164550781
2015-03-10,46.02684020996094
2015-03-11,45.83190155029297
2015-03-12,43.24560546875
2015-03-13,43.13916778564453
2015-03-14,38.93357849121094
2015-03-15,37.42518615722656
2015-03-16,31.53748321533203
2015-03-17,29.31884002685547
2015-03-18,29.759246826171875
2015-03-19,26.72486114501953
2015-03-20,22.328842163085938
2015-03-21,19.210556030273438
2015-03-22,17.701156616210938
2015-03-23,17.265640258789062
2015-03-24,10.674720764160156
2015-03-25,3.2767410278320312
2015-03-26,-0.3985595703125
2015-03-27,0.8205718994140625
2015-03-28,3.3347244262695312
2015-03-29,4.524810791015625
2015-03-30,6.696159362792969
2015-03-31,5.387580871582031
2015-04-01,0.5615005493164062
2015-04-02,-3.228240966796875
2015-04-03,-4.5630035400390625
2015-04-04,-9.444877624511719
2015-04-05,-15.385498046875
2015-04-06,-18.452774047851562
2015-04-07,-17.442962646484375
2015-04-08,-20.8262939453125
2015-04-09,-23.13250732421875
2015-04-10,-18.608230590820312
2015-04-11,-15.258987426757812
2015-04-12,-13.545997619628906
2015-04-13,-14.705978393554688
2015-04-14,-17.106231689453125
2015-04-15,-16.652114868164062
2015-04-16,-16.510421752929688
2015-04-17,-16.780311584472656
2015-04-18,-16.20600128173828
2015-04-19,-16.933349609375
2015-04-20,-17.578948974609375
2015-04-21,-17.18384552001953
2015-04-22,-17.03594207763672
2015-04-23,-16.905380249023438
2015-04-24,-16.826637268066406
2015-04-25,-17.262374877929688
2015-04-26,-15.935256958007812
2015-04-27,-14.394912719726562
2015-04-28,-13.72882080078125
2015-04-29,-13.737663269042969
2015-04-30,-14.211997985839844
2015-05-01,-14.686996459960938
2015-05-02,-14.524627685546875
2015-05-03,-14.414588928222656
2015-05-04,-13.816497802734375
2015-05-05,-13.573463439941406
2015-05-06,-13.486381530761719
2015-05-07,-13.274627685546875
2015-05-08,-12.604408264160156
2015-05-09,-12.490196228027344
2015-05-10,-11.912864685058594
2015-05-11,-11.10894775390625
2015-05-12,-11.096878051757812
2015-05-13,-11.25848388671875
2015-05-14,-11.638710021972656
2015-05-15,-11.727142333984375
