Date,State_Avg_TMIN
2015-01-01,-133.12155081262682
2015-01-02,-147.10983252894928
2015-01-03,-172.2531464774801
2015-01-04,-184.87415582311513
2015-01-05,-147.85941896754608
2015-01-06,-119.53090412197078
2015-01-07,-164.0428867438648
2015-01-08,-183.28077408462235
2015-01-09,-212.22872290533283
2015-01-10,-123.98270076913896
2015-01-11,-120.14826176305063
2015-01-12,-140.31736361000733
2015-01-13,-134.6294894861606
2015-01-14,-114.98025777239626
2015-01-15,-86.11407046745228
2015-01-16,-53.31953374149428
2015-01-17,-49.09015425413988
2015-01-18,-17.89989469106537
2015-01-19,-16.81156095980354
2015-01-20,-54.82479918822585
2015-01-21,-97.1830158432389
2015-01-22,-74.89373603697324
2015-01-23,-24.082797551034332
2015-01-24,5.76099348534202
2015-01-25,7.795474700274571
2015-01-26,6.994561880723774
2015-01-27,2.1947255998772106
2015-01-28,-40.926921141941094
2015-01-29,-69.45408189368489
2015-01-30,-68.97433787540291
2015-01-31,-119.35492521786583
2015-02-01,-161.16767356788378
2015-02-02,-64.43163446288179
2015-02-03,-107.37165313709774
2015-02-04,-136.17489597012124
2015-02-05,-37.787634087692076
2015-02-06,20.652341951327656
2015-02-07,33.8357543018913
2015-02-08,5.118466156181251
2015-02-09,-8.826796647168171
2015-02-10,-29.447799597523748
2015-02-11,-48.515401964629845
2015-02-12,-26.70217183689479
2015-02-13,3.637351416341219
2015-02-14,-16.4842974572369
2015-02-15,-34.020300748674046
2015-02-16,-71.05303178880229
2015-02-17,-95.88159140133362
2015-02-18,-69.29721847979944
2015-02-19,-23.778047563824888
2015-02-20,-31.03527636134182
2015-02-21,-145.3656501014718
2015-02-22,-189.22926437232465
2015-02-23,-151.62855577536368
2015-02-24,-55.290629210225624
2015-02-25,-108.63992658219212
2015-02-26,-148.12711044221226
2015-02-27,-146.87784803110662
2015-02-28,-127.05278876818392
2015-03-01,-133.89020797448708
2015-03-02,-109.06200436584409
2015-03-03,-160.3515804867234
2015-03-04,-181.32528096594302
2015-03-05,-74.83831667718336
2015-03-06,-23.047585142486827
2015-03-07,-29.111934444122312
2015-03-08,-48.24390956222181
2015-03-09,-19.17944088203694
2015-03-10,-28.466505789859635
2015-03-11,13.070301175026007
2015-03-12,15.866487883077237
2015-03-13,-23.5083756842949
2015-03-14,18.865166191994817
2015-03-15,64.99750370926208
2015-03-16,-0.16908266111840695
2015-03-17,-11.725958012858776
2015-03-18,1.6301950986578444
2015-03-19,-9.80740402817334
2015-03-20,13.833650254958474
2015-03-21,20.201059058273785
2015-03-22,-13.322616266180058
2015-03-23,-11.67582328563876
2015-03-24,-12.566719818544604
2015-03-25,-13.486650920067534
2015-03-26,27.435998175213612
2015-03-27,28.06417662909085
2015-03-28,30.911691849855895
2015-03-29,6.995508382079574
2015-03-30,25.401638470590246
2015-03-31,25.576481146716237
2015-04-01,-5.008463086447121
2015-04-02,-43.32469473199516
2015-04-03,-57.77933514675035
2015-04-04,-33.782873868035544
2015-04-05,-24.820655047154528
2015-04-06,-22.099510547947542
2015-04-07,-48.95374720739464
2015-04-08,-23.58513182802667
2015-04-09,-32.59598888074083
2015-04-10,-10.12166166413698
2015-04-11,18.92842829612702
2015-04-12,-14.59973651448744
2015-04-13,-24.40437778194655
2015-04-14,11.024890427545749
2015-04-15,-3.7274225318484917
2015-04-16,-32.18274724150281
2015-04-17,-16.443617084775823
2015-04-18,2.0148178624418036
2015-04-19,-19.633006889847707
2015-04-20,-31.38552236642393
2015-04-21,-2.8904552586250998
2015-04-22,12.014353138803143
2015-04-23,23.894077118542903
2015-04-24,19.97194390913587
2015-04-25,12.262089209884548
2015-04-26,7.480496529495029
2015-04-27,-9.404872350222558
2015-04-28,5.77335982400191
2015-04-29,43.67004621655269
2015-04-30,38.280622729675805
2015-05-01,30.216571874413763
2015-05-02,45.847809403618875
2015-05-03,16.207164418370652
2015-05-04,19.95951148592186
2015-05-05,50.148948189709564
2015-05-06,33.82859585244812
2015-05-07,15.037712962805058
2015-05-08,6.151700291624742
2015-05-09,-10.393669952419122
2015-05-10,-18.437972184797992
2015-05-11,2.1461129491617923
2015-05-12,54.54506113887136
2015-05-13,53.22184797994441
2015-05-14,60.55288682913518
2015-05-15,68.96901700291625
2015-05-16,66.5794954550881
2015-05-17,27.45924714770537
2015-05-18,6.742794651840987
2015-05-19,31.016772686187903
2015-05-20,25.14284496137251
2015-05-21,32.822322083326235
2015-05-22,54.55580094479595
2015-05-23,76.01996393062402
2015-05-24,61.00487746644611
2015-05-25,57.00070987601685
2015-05-26,82.35036325187168
2015-05-27,88.3896110817402
2015-05-28,74.74904497160497
2015-05-29,60.393249995736475
2015-05-30,78.30515075805378
2015-05-31,81.79122397121273
2015-06-01,109.63302607568602
2015-06-02,91.93821307365657
2015-06-03,77.6181229428518
2015-06-04,87.611746849259
2015-06-05,85.48865903780889
2015-06-06,96.03711820181795
2015-06-07,104.99904283984516
2015-06-08,123.0551123863772
2015-06-09,133.97413535822093
2015-06-10,123.64741545440592
2015-06-11,106.70441018469567
2015-06-12,104.07171666354009
2015-06-13,61.53547674676399
2015-06-14,71.1230025410577
2015-06-15,72.92329715026351
2015-06-16,82.09895202687724
2015-06-17,87.09849156675818
2015-06-18,101.98677243037672
2015-06-19,108.52374780428741
2015-06-20,82.53492675273293
2015-06-21,79.03934162730017
2015-06-22,74.9881239660965
2015-06-23,93.04305088937019
2015-06-24,110.81092995889968
2015-06-25,143.7975851424868
2015-06-26,111.20199063731093
2015-06-27,136.81393147671267
2015-06-28,154.0626225761891
