DATE,State_Avg_TMAX
2015-01-01,-38.7036129065266
2015-01-02,1.4180466258505728
2015-01-03,-88.257284223272
2015-01-04,-131.27841422651227
2015-01-05,-21.196215699984656
2015-01-06,-31.96861836383171
2015-01-07,-15.681949963333732
2015-01-08,-2.134496989955147
2015-01-09,-72.80260970035984
2015-01-10,-21.064225659566485
2015-01-11,-35.67238688882446
2015-01-12,-60.004847621808764
2015-01-13,-22.875503095315246
2015-01-14,2.2849480703310197
2015-01-15,24.661205808619133
2015-01-16,59.54233674983373
2015-01-17,33.04173346180739
2015-01-18,76.6176688780122
2015-01-19,46.72970351484557
2015-01-20,27.173706448147072
2015-01-21,8.596969490253596
2015-01-22,42.873158159523854
2015-01-23,62.68331855313198
2015-01-24,87.19561454371814
2015-01-25,124.65835351399288
2015-01-26,128.26505661954056
2015-01-27,120.58531515937038
2015-01-28,79.51628238143152
2015-01-29,60.886526425294605
2015-01-30,61.95486211777546
2015-01-31,10.145044937496802
2015-02-01,-33.430012193666116
2015-02-02,15.368758207275272
2015-02-03,9.723766563773724
2015-02-04,-1.4001824786397676
2015-02-05,85.5475361120112
2015-02-06,136.5878306359466
2015-02-07,120.51883836144414
2015-02-08,130.8155857223255
2015-02-09,83.39508757269301
2015-02-10,57.72694928117058
2015-02-11,31.805534474819655
2015-02-12,119.44215043402632
2015-02-13,147.72293517744768
2015-02-14,104.63673533775604
2015-02-15,62.70996768252127
2015-02-16,27.791808073400755
2015-02-17,22.10638760509576
2015-02-18,77.16940029333017
2015-02-19,101.63642196906389
2015-02-20,53.28858911608711
2015-02-21,-18.884641949622257
2015-02-22,-51.7147279021778
2015-02-23,34.463683339870734
2015-02-24,84.5436094104405
2015-02-25,33.22993374490509
2015-02-26,-59.03104268635845
2015-02-27,-25.65095417569112
2015-02-28,-29.236456929924792
2015-03-01,10.33774110203455
2015-03-02,34.13746866313079
2015-03-03,-61.171291164281925
2015-03-04,1.1227680474785564
2015-03-05,90.77258173167114
2015-03-06,142.62247173286488
2015-03-07,126.74580682845303
2015-03-08,135.1100989989256
2015-03-09,167.5948675750806
2015-03-10,177.43005269710252
2015-03-11,161.5802479663012
2015-03-12,172.2078721626277
2015-03-13,183.38826167778024
2015-03-14,198.09817819806605
2015-03-15,167.473617340587
2015-03-16,116.27110868564216
2015-03-17,48.780268857547284
2015-03-18,89.03030936098368
2015-03-19,150.6786457356277
2015-03-20,181.550337244402
2015-03-21,166.44092254037554
2015-03-22,154.27186546037484
2015-03-23,121.3258373552535
2015-03-24,73.06215785255044
2015-03-25,97.73696855227925
2015-03-26,152.75493502396097
2015-03-27,225.1803340893975
2015-03-28,189.8290222044102
2015-03-29,165.5486424953528
2015-03-30,204.28770869928547
2015-03-31,218.53661297474292
2015-04-01,103.9691086685881
2015-04-02,68.25154552586251
2015-04-03,103.78209151218513
2015-04-04,114.34845959036102
2015-04-05,59.310407677746134
2015-04-06,47.112797806845506
2015-04-07,118.60459479509527
2015-04-08,130.29981496324845
2015-04-09,150.53516124631207
2015-04-10,173.61613187918894
2015-04-11,173.44654825451505
2015-04-12,106.00410150587513
2015-04-13,188.10527269471493
2015-04-14,191.18626890870954
2015-04-15,97.68269607926734
2015-04-16,152.70503052680047
2015-04-17,200.69207369067314
2015-04-18,150.17139988403227
2015-04-19,137.52020055596293
2015-04-20,180.54323208895408
2015-04-21,195.07463717448027
2015-04-22,206.7323170523731
2015-04-23,174.43409451370297
2015-04-24,159.48058606340706
2015-04-25,116.89003317018266
2015-04-26,74.70176040725138
2015-04-27,157.2683736378055
2015-04-28,233.52333637464397
2015-04-29,244.30355193819608
2015-04-30,182.57955727612256
2015-05-01,227.5480200214881
2015-05-02,216.22341695516488
2015-05-03,186.72928568992273
2015-05-04,235.43098214437987
2015-05-05,228.09483559868343
2015-05-06,152.43029784948072
2015-05-07,121.79810316012076
2015-05-08,117.67717268959869
2015-05-09,139.03634650476658
2015-05-10,164.37479321929843
2015-05-11,177.45918106315125
2015-05-12,157.57261200266043
2015-05-13,170.64414746661663
2015-05-14,157.58450722240224
2015-05-15,144.46139169807458
2015-05-16,123.34966829817353
2015-05-17,98.33578201476884
2015-05-18,131.60093882702046
2015-05-19,158.63654134761327
2015-05-20,191.6755568156625
2015-05-21,217.067625816464
2015-05-22,222.80247113597218
2015-05-23,189.74873799819227
2015-05-24,199.72632467554615
2015-05-25,222.30731236250148
2015-05-26,218.99054990876073
2015-05-27,195.246582789024
2015-05-28,193.54002805395913
2015-05-29,198.71307792008454
2015-05-30,213.25169048552962
2015-05-31,261.35162951719906
2015-06-01,260.5338416869895
2015-06-02,189.46945401367736
2015-06-03,209.66004613128231
2015-06-04,218.07713986049765
2015-06-05,245.58229232395928
2015-06-06,268.4572091853267
2015-06-07,287.85829553012604
2015-06-08,324.6392550778519
2015-06-09,315.98992743489606
2015-06-10,258.5014602554701
2015-06-11,287.2785868990569
2015-06-12,282.1764990534986
2015-06-13,238.00574082916933
2015-06-14,209.54037553080823
2015-06-15,205.64149555741253
2015-06-16,248.25086336272324
2015-06-17,272.3222815798898
2015-06-18,269.24435510002223
2015-06-19,276.5466791445674
2015-06-20,261.0689922745024
2015-06-21,267.18652471988673
2015-06-22,259.8082801814554
2015-06-23,294.3673043470846
2015-06-24,281.250044766956
2015-06-25,295.5553639340348
2015-06-26,340.4431672834558
2015-06-27,359.41678462404286
2015-06-28,370.6396792980541
2015-06-29,357.77137515561844
2015-06-30,339.3882382284224
2015-07-01,319.4799444037042
2015-07-02,309.49342565274486
2015-07-03,340.85560524924534
