Date,State_Avg_RHMX
2015-01-01,79.49487738117571
2015-01-02,88.26415062162114
2015-01-03,86.16674625236625
2015-01-04,85.01943525419104
2015-01-05,86.11132476081654
2015-01-06,87.51207855108551
2015-01-07,89.43990355918618
2015-01-08,88.71434631717176
2015-01-09,86.06263323498814
2015-01-10,84.44515195183928
2015-01-11,92.53707343486194
2015-01-12,91.51977420400091
2015-01-13,89.95157068062828
2015-01-14,85.6237017582755
2015-01-15,81.17958157818441
2015-01-16,81.39544570834116
2015-01-17,76.17167061752819
2015-01-18,84.85614245271756
2015-01-19,82.0713286832546
2015-01-20,84.35782654296776
2015-01-21,87.42192642870543
2015-01-22,76.30429379061002
2015-01-23,80.34409161450961
2015-01-24,82.59817180278664
2015-01-25,81.9788657332401
2015-01-26,75.81611653051829
2015-01-27,76.93218019339325
2015-01-28,90.51718624759111
2015-01-29,92.8750383716766
2015-01-30,84.77614177055443
2015-01-31,90.88196659106023
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,0.0
2015-02-28,0.0
2015-03-01,80.98378157136278
2015-03-02,83.60185548373894
2015-03-03,79.83963623650597
2015-03-04,79.5391433736378
2015-03-05,64.56479697119568
2015-03-06,66.74172237665638
2015-03-07,78.05524455548546
2015-03-08,84.87929123249825
2015-03-09,72.80820983338165
2015-03-10,72.9773223391374
2015-03-11,61.83483124989342
2015-03-12,69.11027806674967
2015-03-13,76.10264423486878
2015-03-14,67.72376656377372
2015-03-15,77.80503564302403
2015-03-16,89.81243284956598
2015-03-17,95.12505116223547
2015-03-18,94.60789902280129
2015-03-19,82.8843435032488
2015-03-20,64.26295683612736
2015-03-21,73.90727271176901
2015-03-22,78.24999147296074
2015-03-23,86.3418212903116
2015-03-24,90.31747019799786
2015-03-25,87.94287949588144
2015-03-26,77.42123360676705
2015-03-27,78.44837090915293
2015-03-28,78.10247369408393
2015-03-29,77.54790277469857
2015-03-30,69.83445392840697
2015-03-31,77.75600943090541
2015-04-01,77.06160146323994
2015-04-02,81.38928492248922
2015-04-03,83.31303826935212
2015-04-04,85.0072245339973
2015-04-05,93.10963214352712
2015-04-06,94.02940975834372
2015-04-07,93.15667368726231
2015-04-08,83.75708810136943
2015-04-09,88.66061957467129
2015-04-10,81.82456469464672
2015-04-11,73.9649538687177
2015-04-12,75.28084016917646
2015-04-13,65.33046327404199
2015-04-14,83.0134577996828
2015-04-15,87.55241571021709
2015-04-16,79.04591384279551
2015-04-17,77.14690170029164
2015-04-18,78.27151372000614
2015-04-19,78.35703566007813
2015-04-20,78.2830103006634
2015-04-21,76.24535915889285
2015-04-22,78.239748367072
2015-04-23,83.23245348500093
2015-04-24,85.93483210259734
2015-04-25,89.93824718181354
2015-04-26,91.55561121817284
2015-04-27,93.38797389020584
2015-04-28,83.79119199481556
2015-04-29,78.65691031260125
2015-04-30,77.31999846513293
2015-05-01,69.24649965039137
2015-05-02,65.75301217661205
2015-05-03,72.07018819175606
2015-05-04,71.27830977028158
2015-05-05,78.53337056807136
2015-05-06,83.26720969694904
2015-05-07,77.49877850162868
2015-05-08,83.55736352473696
2015-05-09,86.4184836366117
2015-05-10,79.8087150604567
2015-05-11,68.00400344492385
2015-05-12,72.73558717192216
2015-05-13,87.32109418967546
2015-05-14,89.32832085543258
2015-05-15,90.6522673397343
2015-05-16,92.4908824632911
2015-05-17,87.43060055937377
2015-05-18,84.43003990654364
2015-05-19,78.19271321861625
2015-05-20,78.83027567917868
2015-05-21,78.53585620001023
2015-05-22,79.72824325937547
2015-05-23,86.60231168033835
2015-05-24,91.17604285689922
2015-05-25,89.50396294148746
2015-05-26,91.5837184712724
2015-05-27,92.79525726077392
2015-05-28,94.3361444139366
2015-05-29,90.30491413271483
2015-05-30,90.84641523270291
2015-05-31,92.4814771390078
2015-06-01,91.34446254071662
2015-06-02,92.90310085782016
2015-06-03,94.56337935092178
2015-06-04,91.337994781452
2015-06-05,92.24924535702714
2015-06-06,89.9107666660982
2015-06-07,84.96254711189181
2015-06-08,78.89367421593874
2015-06-09,74.95111661578868
2015-06-10,86.56399756126677
2015-06-11,91.76782151201459
2015-06-12,73.66581893684875
2015-06-13,78.11348210174464
2015-06-14,75.62964510462677
2015-06-15,78.78519961798865
2015-06-16,85.78516764159147
2015-06-17,83.81058674557019
2015-06-18,85.61605726759555
2015-06-19,84.82598657844025
2015-06-20,80.81641710865155
2015-06-21,76.76905366918497
2015-06-22,81.44506028616743
2015-06-23,77.54826304210651
2015-06-24,77.92194987806333
2015-06-25,71.437230332384
2015-06-26,80.3286342241247
2015-06-27,68.04683263127377
2015-06-28,66.35620214199226
2015-06-29,74.87662013745586
2015-06-30,82.27573460443065
2015-07-01,78.77563227995975
2015-07-02,79.50861444139365
2015-07-03,77.36261873902144
2015-07-04,74.0929383324522
2015-07-05,86.52995122533554
2015-07-06,88.64692088612993
2015-07-07,85.55284845745861
2015-07-08,86.81154390572506
2015-07-09,76.65986279993861
2015-07-10,79.51301013012262
2015-07-11,85.45934734041647
2015-07-12,76.00228098299709
